"Apple iTunes",False,"entertainment",emulation,"Compatible","12.12.10.1",https://www.apple.com/itunes/,AppleiTunes.png,
"APPX Installer Tool",False,"dev-tools",native,"Compatible","1.20.2308.8001",https://aka.ms/getwinget,,
"ArcGIS ArcMap",False,"engineering",emulation,"Compatible","3.1.41833",https://www.esri.com/en-us/arcgis/products/arcgis-pro/overview,,
"Ares",False,"dev-tools",emulation,"Compatible","24.2.3136",https://www.graebert.com/us/cad-software/ares-commander/,,
"ASUS webstorage client",False,"it",emulation,"Compatible","6.17.1",https://personal.asuswebstorage.com/download/?lang=en,,
"Asus WebStorage Sync Agent",False,"prod",emulation,"Compatible","2.9.3.798",https://asuscloudsupport.asuswebstorage.com/hc/en-us/articles/7296882702361-Download-and-install-the-ASUS-WebStorage-desktop-application-on-your-computer,,
"aTube Catcher",False,"utils-tools",emulation,"Compatible","3.8.9991",https://www.atube.me/,,
"Audacity",False,"entertainment",emulation,"Compatible","3.3.3",https://www.audacityteam.org/download/windows/,,
"Audacity Portable",False,"creative",emulation,"Compatible","3.3.3.0",https://manual.audacityteam.org/man/portable_audacity.html,,
"Audiobooks from Audible",False,"entertainment",native,"Compatible","nan",https://www.audible.com/,,
"Auslogics Disk Defrag",False,"utils-tools",emulation,"Compatible","11.0.0.4",https://www.auslogics.com/en/software/disk-defrag/,,
"AutoCAD - DWG Viewer & Editor",False,"cad",emulation,"Compatible","9.15.1.0",https://apps.microsoft.com/detail/9wzdncrfjctk,,
"AutoClick",False,"dev-tools",emulation,"Compatible","3",https://sourceforge.net/projects/orphamielautoclicker/files/latest/download,,
"Autodesk App Manager",False,"utils-tools",native,"Compatible","3.5.4",https://apps.autodesk.com/ACD/en/Detail/Index?id=8410250632962132687&autostart=true,,
"AutoDesk AutoCAD",False,"cad",emulation,"Compatible","61.0.0",https://www.autodesk.com/products/autocad/free-trial,,
"Autodesk AutoCAD Architecture",False,"cad",emulation,"Compatible","8.6.52.0",https://www.autodesk.in/,,
"Autodesk AutoCAD Civil 3D",False,"cad",emulation,"Compatible","13.6.342.0",https://www.autodesk.in/products/civil-3d/trial-intake,,
"Autodesk AutoCAD LT",False,"multimedia",emulation,"Compatible","U.63.0.0",https://www.autodesk.com/products/autocad-lt/free-trial,,
"Autodesk AutoCAD Map 3D",False,"cad",emulation,"Compatible","27.0.37.4",https://www.autodesk.in/products/autocad/overview?panel=buy&mktvar002=afc_in_nmpi_ppc&AID=13084956&PID=8206971&gclid=2c87e020dfba120ba61185d9fa310aa4&gclsrc=3p.ds&ds_rl=1232386&ds_rl=1232407&ds_rl=1232410&&cjevent=2c87e020dfba120ba61185d9fa310aa4&click_id=2c87e020dfba120ba61185d9fa310aa4&gclid=2c87e020dfba120ba61185d9fa310aa4&gclsrc=3p.ds&msclkid=2c87e020dfba120ba61185d9fa310aa4&term=1-YEAR&tab=subscription&plc=ACDIST,,
"Autodesk AutoCAD MEP",False,"cad",emulation,"Compatible","8.6.52.0",https://www.autodesk.in/,,
"Autodesk Design Review",False,"cad",emulation,"Compatible","14.0.0.177",https://www.autodesk.com/products/design-review/download,,
"AutoDesk Desktop App",False,"utils-tools",emulation,"Compatible","1.43.0.186",https://www.autodesk.com/products/design-review/download,,
"Autodesk DWG FastView",False,"cad",emulation,"Compatible","V7.1.0",https://en.dwgfastview.com/cloud/download/,,
"AutoDesk Fusion 360",False,"cad",emulation,"Compatible","2.0.17457",https://www.autodesk.com/products/fusion-360/trial-intake,,
"AutoDesk Inventor",False,"cad",emulation,"Compatible","28.0.15300.0000",https://www.autodesk.com/products/inventor/free-trial,,
"AutoDesk Maya",False,"creative",emulation,"Compatible","2024.1",https://www.autodesk.com/products/maya/trial-intake,,
"AutoDesk Revit",False,"creative",emulation,"Compatible","23.0.11.19",https://www.autodesk.com/products/revit/free-trial,,
"Autodesk VRED Professional",False,"cad",emulation,"Compatible","16.0.0.11988",https://manage.autodesk.com/products,,
"AutoOff",False,"utils-tools",emulation,"Compatible","4.25.0",https://autooff.en.lo4d.com/download,,
"AutoPlay Media Studio",False,"utils-tools",emulation,"Compatible","8.5.3.0",https://download.cnet.com/AutoPlay-Media-Studio/3000-2247_4-10163784.html,,
"Avant Browser",False,"browsers",emulation,"Compatible","12.5.0.0",http://www.avantbrowser.com/,,
"Avast Antivirus Download Center",False,"security",native,"Compatible","1.21.1.0",https://apps.microsoft.com/store/detail/avast-antivirus-download-center/9NBLGGH5XG3K,,
"Avro Keyboard",False,"utils-tools",emulation,"Compatible","5.6.0.0",https://www.omicronlab.com/avro-keyboard.html,,
"backiee - Wallpaper Studio 10",False,"personal",native,"Compatible","11.110.271.0",https://apps.microsoft.com/detail/9wzdncrfhzcd,,
"BakkesMod",False,"utils-tools",emulation,"Compatible","192",https://bakkesmod.com/,,
"Bamboo Paper",False,"prod",emulation,"Compatible","2.3",https://apps.microsoft.com/detail/9wzdncrfj1bh,,
"Bandicam",False,"utils-tools",emulation,"Compatible","7.0.1.2132",https://www.bandicam.com/downloads/,,
"Bandicut",False,"creative",emulation,"Compatible","3.7.0.762",https://www.bandicam.com/bandicut-video-cutter/,,
"Bandizip",False,"utils-tools",native,"Compatible","7.32",https://apps.microsoft.com/store/detail/bandizip/9P2W3W81SPPB,Bandizip.png,
